47,14,BLN-JCE,BLN-JUICE,INACTIVE,2,2,2018-02-12 00:05:05,2018-06-02 07:47:25,NULL
48,14,BLN-N/A,BLN-N/A,INACTIVE,2,2,2018-02-12 00:05:05,2018-06-02 07:47:25,NULL
49,16,BLR-NDL,BLR-NOODLE,INACTIVE,2,2,2018-02-12 00:05:05,2018-06-02 07:47:25,NULL
50,10,BLY-FRZ,BLY-FREEZER,INACTIVE,2,2,2018-02-12 00:05:05,2018-06-02 07:47:25,NULL
51,10,BLY-FRS,BLY-FRESH,INACTIVE,2,2,2018-02-12 00:05:05,2018-06-02 07:47:40,NULL
52,10,BLY-FZN,BLY-FROZEN,INACTIVE,2,2,2018-02-12 00:05:06,2018-06-02 07:47:40,NULL
53,10,BLY-MRN,BLY-MARINATED,INACTIVE,2,2,2018-02-12 00:05:06,2018-06-02 07:47:40,NULL
54,10,BLY-PRC,BLY-PROCESSED,INACTIVE,2,2,2018-02-12 00:05:06,2018-06-02 07:47:40,NULL
55,15,BOA-CHP,BOA-CHOPPING,INACTIVE,2,2,2018-02-12 00:05:06,2018-06-02 07:47:57,NULL
56,21,BRD-BNS,BRD-BEANS,INACTIVE,2,2,2018-02-12 00:05:06,2018-03-30 00:05:14,NULL
57,21,BRD-BUN,BRD-BUNS,ACTIVE,2,NULL,2018-02-12 00:05:06,NULL,NULL
58,21,BRD-DRD,BRD-DRIED,INACTIVE,2,2,2018-02-12 00:05:06,2018-03-30 00:05:23,NULL
59,21,BRD-LOA,BRD-LOAF,ACTIVE,2,2,2018-02-12 00:05:06,2018-03-30 00:05:30,NULL
60,21,BRD-SLC,BRD-SLICED,INACTIVE,2,2,2018-02-12 00:05:06,2018-03-30 00:05:39,NULL
61,21,BRD-WHL,BRD-WHOLE,INACTIVE,2,2,2018-02-12 00:05:06,2018-03-30 00:05:45,NULL
62,22,BRS-FRS,BRS-FRESH,ACTIVE,2,NULL,2018-02-12 00:05:06,NULL,NULL
63,22,BRS-PRC,BRS-PROCESSED,INACTIVE,2,2,2018-02-12 00:05:06,2018-06-04 12:52:17,NULL
64,25,BSH-PTY,BSH-PASTRY,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:52:17,NULL
65,19,BTL-N/A,BTL-N/A,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
66,19,BTL-SQZ,BTL-SQUEEZE,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
67,27,BTT-FRS,BTT-FRESH,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
68,27,BTT-PRC,BTT-PROCESSED,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
69,28,BUB-FRZ,BUB-FREEZER,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
70,28,BUB-FZN,BUB-FROZEN,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
71,20,BWL-MXG,BWL-MIXING,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
72,20,BWL-N/A,BWL-N/A,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
73,20,BWL-RCE,BWL-RICE,INACTIVE,2,2,2018-02-12 00:05:07,2018-06-04 12:55:15,NULL
