Category Description,Subcategory Code,Subcategory Description,Status
KITCHEN EQUIPMENT,KEQ-NDB,KEQ-NOODLE BOILER,ACTIVE
KITCHEN EQUIPMENT,KEQ-OFM,KEQ-OIL FILTERING MACHINE,ACTIVE
KITCHEN EQUIPMENT,KEQ-ONS,KEQ-ONION SLICER,ACTIVE
KITCHEN EQUIPMENT,KEQ-OVS,KEQ-OVERHEAD SHELVES,ACTIVE
KITCHEN EQUIPMENT,KEQ-PLM,KEQ-PLANETARY MIXER,ACTIVE
KITCHEN EQUIPMENT,KEQ-POM,KEQ-POPCORN MACHINE,ACTIVE
KITCHEN EQUIPMENT,KEQ-PRF,KEQ-PRE RINSE FAUCET,ACTIVE
KITCHEN EQUIPMENT,KEQ-PRW,KEQ-PRESSURE WASHER,ACTIVE
KITCHEN EQUIPMENT,KEQ-PFR,KEQ-PROOFER,ACTIVE
KITCHEN EQUIPMENT,KEQ-RCK,KEQ-RACK,ACTIVE
KITCHEN EQUIPMENT,KEQ-RCS,KEQ-RACK SHELVES,ACTIVE
KITCHEN EQUIPMENT,KEQ-RFR,KEQ-REFIGERATION,ACTIVE
KITCHEN EQUIPMENT,KEQ-RFC,KEQ-REFRACTOMETER,ACTIVE
KITCHEN EQUIPMENT,KEQ-RIC,KEQ-RICE COOKER,ACTIVE
KITCHEN EQUIPMENT,KEQ-RIW,KEQ-RICE WARMER,ACTIVE
KITCHEN EQUIPMENT,KEQ-SAL,KEQ-SALAMANDER,ACTIVE
KITCHEN EQUIPMENT,KEQ-SHM,KEQ-SHAWARMA MACHINE,ACTIVE
KITCHEN EQUIPMENT,KEQ-SKG,KEQ-SINK GRINDER,ACTIVE
KITCHEN EQUIPMENT,KEQ-SKT,KEQ-SINK TABLE,ACTIVE
KITCHEN EQUIPMENT,KEQ-SLM,KEQ-SLUSHIE MACHINE,ACTIVE
KITCHEN EQUIPMENT,KEQ-SOV,KEQ-SOUS VIDE MACHINE,ACTIVE
KITCHEN EQUIPMENT,KEQ-SRK,KEQ-SPEED RACK,ACTIVE
KITCHEN EQUIPMENT,KEQ-SMX,KEQ-STAND MIXER,ACTIVE
KITCHEN EQUIPMENT,KEQ-STM,KEQ-STEAMER,ACTIVE
KITCHEN EQUIPMENT,KEQ-STC,KEQ-STEAMER CABINET,ACTIVE
KITCHEN EQUIPMENT,KEQ-STK,KEQ-STORAGE TANK,ACTIVE
KITCHEN EQUIPMENT,KEQ-TBL,KEQ-TABLE,ACTIVE
KITCHEN EQUIPMENT,KEQ-TBC,KEQ-TABLE WITH CABINET,ACTIVE
KITCHEN EQUIPMENT,KEQ-TWS,KEQ-TABLE WITH SHELVES,ACTIVE
KITCHEN EQUIPMENT,KEQ-TKC,KEQ-TAKOYAKI COOKER,ACTIVE
KITCHEN EQUIPMENT,KEQ-TGS,KEQ-TRENCH GRATE AND SUMP PAN,ACTIVE
KITCHEN EQUIPMENT,KEQ-UPC,KEQ-UPRIGHT CABINET,ACTIVE
KITCHEN EQUIPMENT,KEQ-VCS,KEQ-VACUUM SEALER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WFM,KEQ-WAFFLE MAKER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WAC,KEQ-WALL CLADDING,ACTIVE
KITCHEN EQUIPMENT,KEQ-WLF,KEQ-WALL FAN,ACTIVE
KITCHEN EQUIPMENT,KEQ-WAS,KEQ-WALL SHELVES,ACTIVE
KITCHEN EQUIPMENT,KEQ-WAB,KEQ-WATER BOILER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WAD,KEQ-WATER DISPENSER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WTF,KEQ-WATER FILTER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WTH,KEQ-WATER HEATER,ACTIVE
KITCHEN EQUIPMENT,KEQ-WAK,KEQ-WATER KETTLE,ACTIVE
KITCHEN EQUIPMENT,KEQ-WES,KEQ-WEIGHING SCALE,ACTIVE
KITCHEN SUPPLIES,KIS-APS,KIS-ACETATE SHEET,ACTIVE
KITCHEN SUPPLIES,KIS-ATC,KIS-AIRTIGHT CONTAINER,ACTIVE
KITCHEN SUPPLIES,KIS-ALF,KIS-ALUMINUM FOIL,ACTIVE
KITCHEN SUPPLIES,KIS-BKM,KIS-BAKING MAT,ACTIVE
KITCHEN SUPPLIES,KIS-BBS,KIS-BARBECUE STICK,ACTIVE
KITCHEN SUPPLIES,KIS-BNK,KIS-BONING KNIFE,ACTIVE
KITCHEN SUPPLIES,KIS-BTP,KIS-BOTTLE POURER,ACTIVE
KITCHEN SUPPLIES,KIS-BRK,KIS-BREAD KNIFE,ACTIVE
KITCHEN SUPPLIES,KIS-CKB,KIS-CAKE BAND,ACTIVE
KITCHEN SUPPLIES,KIS-CKD,KIS-CAKE DIVIDER,ACTIVE
KITCHEN SUPPLIES,KIS-CAP,KIS-CAKE PAN,ACTIVE
KITCHEN SUPPLIES,KIS-CKR,KIS-CAKE RING,ACTIVE
KITCHEN SUPPLIES,KIS-CAT,KIS-CAKE TESTER,ACTIVE
KITCHEN SUPPLIES,KIS-CTB,KIS-CAKE TURNTABLE,ACTIVE
KITCHEN SUPPLIES,KIS-CAW,KIS-CALIBRATION WEIGHTS,ACTIVE
KITCHEN SUPPLIES,KIS-CLB,KIS-CALL BELL,ACTIVE
KITCHEN SUPPLIES,KIS-CAO,KIS-CAN OPENER,ACTIVE
KITCHEN SUPPLIES,KIS-CSR,KIS-CASSEROLE PAN,ACTIVE
KITCHEN SUPPLIES,KIS-CIP,KIS-CAST IRON POT,ACTIVE
KITCHEN SUPPLIES,KIS-CHC,KIS-CHEESE CUTTER,ACTIVE
KITCHEN SUPPLIES,KIS-CHG,KIS-CHEESE GRATER,ACTIVE
KITCHEN SUPPLIES,KIS-CHK,KIS-CHEF'S KNIFE,ACTIVE
KITCHEN SUPPLIES,KIS-CHB,KIS-CHOPPING BOARD,ACTIVE
KITCHEN SUPPLIES,KIS-CBH,KIS-CHOPPING BOARD HOLDER,ACTIVE
KITCHEN SUPPLIES,KIS-CLW,KIS-CLING WRAP,ACTIVE
KITCHEN SUPPLIES,KIS-COL,KIS-COLANDER,ACTIVE
KITCHEN SUPPLIES,KIS-CDH,KIS-CONDIMENT HOLDER,ACTIVE
KITCHEN SUPPLIES,KIS-CKT,KIS-COOKING TWINE,ACTIVE
KITCHEN SUPPLIES,KIS-CRT,KIS-CRATE,ACTIVE
KITCHEN SUPPLIES,KIS-DDS,KIS-DAY DOT STICKERS,ACTIVE
KITCHEN SUPPLIES,KIS-DTI,KIS-DISPENSER TISSUE,ACTIVE
KITCHEN SUPPLIES,KIS-DOC,KIS-DOUGH CUTTER,ACTIVE
KITCHEN SUPPLIES,KIS-DGT,KIS-DOUGH TRAY,ACTIVE
KITCHEN SUPPLIES,KIS-DRK,KIS-DRIP KETTLE,ACTIVE
KITCHEN SUPPLIES,KIS-DRP,KIS-DRIPPER,ACTIVE
KITCHEN SUPPLIES,KIS-EGR,KIS-EGG RING,ACTIVE
KITCHEN SUPPLIES,KIS-FAM,KIS-FACE MASK,ACTIVE
KITCHEN SUPPLIES,KIS-FIP,KIS-FILTER PAPER,ACTIVE
KITCHEN SUPPLIES,KIS-FLL,KIS-FLAT LADLE,ACTIVE
KITCHEN SUPPLIES,KIS-FOD,KIS-FOIL DISPENSER,ACTIVE
KITCHEN SUPPLIES,KIS-FPC,KIS-FOOD PAN CONTAINER,ACTIVE
KITCHEN SUPPLIES,KIS-FPG,KIS-FOOD PAN GRATE,ACTIVE
KITCHEN SUPPLIES,KIS-FPL,KIS-FOOD PAN LID,ACTIVE
KITCHEN SUPPLIES,KIS-FRS,KIS-FROSTING SHEET,ACTIVE
KITCHEN SUPPLIES,KIS-FBS,KIS-FRYING BASKET,ACTIVE
KITCHEN SUPPLIES,KIS-FRP,KIS-FRYING PAN,ACTIVE
KITCHEN SUPPLIES,KIS-FNL,KIS-FUNNEL,ACTIVE
KITCHEN SUPPLIES,KIS-GLJ,KIS-GLASS JAR,ACTIVE
KITCHEN SUPPLIES,KIS-GLV,KIS-GLOVES,ACTIVE
KITCHEN SUPPLIES,KIS-GDP,KIS-GRIDDLE PAN,ACTIVE
KITCHEN SUPPLIES,KIS-GRP,KIS-GRILLING PAN,ACTIVE
KITCHEN SUPPLIES,KIS-HGR,KIS-HYGROMETER,ACTIVE
KITCHEN SUPPLIES,KIS-ICS,KIS-ICE CREAM SCOOPER,ACTIVE
KITCHEN SUPPLIES,KIS-ISC,KIS-ICE SCOOPER,ACTIVE
KITCHEN SUPPLIES,KIS-IGN,KIS-IGNITER,ACTIVE
KITCHEN SUPPLIES,KIS-JGR,KIS-JIGGER,ACTIVE
KITCHEN SUPPLIES,KIS-KIM,KIS-KITCHEN MAT,ACTIVE
KITCHEN SUPPLIES,KIS-KIS,KIS-KITCHEN SCISSORS,ACTIVE
KITCHEN SUPPLIES,KIS-KIT,KIS-KITCHEN TIMER,ACTIVE
KITCHEN SUPPLIES,KIS-KNM,KIS-KNIFE MAGNET,ACTIVE
KITCHEN SUPPLIES,KIS-LLN,KIS-LLANERA,ACTIVE
KITCHEN SUPPLIES,KIS-MGC,KIS-MAGIC CLIP,ACTIVE
KITCHEN SUPPLIES,KIS-MDS,KIS-MANDOLIN SLICER,ACTIVE
KITCHEN SUPPLIES,KIS-MPM,KIS-MASHED POTATO MASHER,ACTIVE
KITCHEN SUPPLIES,KIS-MSC,KIS-MEASURING CUP,ACTIVE
KITCHEN SUPPLIES,KIS-MSP,KIS-MEASURING SPOON,ACTIVE
KITCHEN SUPPLIES,KIS-MEH,KIS-MEAT HOOK,ACTIVE
KITCHEN SUPPLIES,KIS-MTD,KIS-MEAT TENDERIZER,ACTIVE
KITCHEN SUPPLIES,KIS-MES,KIS-MESH STRAINER,ACTIVE
KITCHEN SUPPLIES,KIS-MJG,KIS-MILK JUG,ACTIVE
KITCHEN SUPPLIES,KIS-MXB,KIS-MIXING BOWL,ACTIVE
KITCHEN SUPPLIES,KIS-MTP,KIS-MORTAR AND PESTLE,ACTIVE
KITCHEN SUPPLIES,KIS-MUD,KIS-MUDDLER,ACTIVE
KITCHEN SUPPLIES,KIS-MUW,KIS-MUFFIN WRAPPER,ACTIVE
KITCHEN SUPPLIES,KIS-NOS,KIS-NOODLE STRAINER,ACTIVE
KITCHEN SUPPLIES,KIS-OVM,KIS-OVEN MITT,ACTIVE
KITCHEN SUPPLIES,KIS-PLT,KIS-PALETTES,ACTIVE
KITCHEN SUPPLIES,KIS-PMH,KIS-PAPER MAGNET HOLDER,ACTIVE
KITCHEN SUPPLIES,KIS-PAK,KIS-PARING KNIFE,ACTIVE
KITCHEN SUPPLIES,KIS-PAB,KIS-PASTRY BRUSH,ACTIVE
KITCHEN SUPPLIES,KIS-PLR,KIS-PEELER,ACTIVE
KITCHEN SUPPLIES,KIS-PPM,KIS-PEPPER MILL,ACTIVE
KITCHEN SUPPLIES,KIS-PPB,KIS-PIPING BAG,ACTIVE
KITCHEN SUPPLIES,KIS-PIT,KIS-PITCHER,ACTIVE
KITCHEN SUPPLIES,KIS-PCU,KIS-PIZZA CUTTER,ACTIVE
KITCHEN SUPPLIES,KIS-PZP,KIS-PIZZA PADDLE,ACTIVE
KITCHEN SUPPLIES,KIS-PIP,KIS-PIZZA PAN,ACTIVE
KITCHEN SUPPLIES,KIS-PZC,KIS-PIZZA SCREEN,ACTIVE
KITCHEN SUPPLIES,KIS-PZS,KIS-PIZZA STAND,ACTIVE
KITCHEN SUPPLIES,KIS-PRC,KIS-PRESSURE COOKER,ACTIVE
KITCHEN SUPPLIES,KIS-PSC,KIS-PUSH CART,ACTIVE
KITCHEN SUPPLIES,KIS-RCT,KIS-RACK TROLLEY,ACTIVE
KITCHEN SUPPLIES,KIS-RCL,KIS-RICE LADLE,ACTIVE
KITCHEN SUPPLIES,KIS-RCN,KIS-RICE NET,ACTIVE
KITCHEN SUPPLIES,KIS-RLP,KIS-ROLLING PIN,ACTIVE
KITCHEN SUPPLIES,KIS-SAS,KIS-SALAD SPINNER,ACTIVE
KITCHEN SUPPLIES,KIS-SNC,KIS-SANITARY CAP,ACTIVE
KITCHEN SUPPLIES,KIS-SAP,KIS-SAUCE PAN,ACTIVE
KITCHEN SUPPLIES,KIS-SCR,KIS-SCRAPER,ACTIVE
KITCHEN SUPPLIES,KIS-SSS,KIS-SESAME SHAKER,ACTIVE
KITCHEN SUPPLIES,KIS-SHR,KIS-SHARPENING ROD,ACTIVE
KITCHEN SUPPLIES,KIS-SHS,KIS-SHARPENING STONE,ACTIVE
KITCHEN SUPPLIES,KIS-SFT,KIS-SIFTER,ACTIVE
KITCHEN SUPPLIES,KIS-SLM,KIS-SILICON MOLD,ACTIVE
KITCHEN SUPPLIES,KIS-SKM,KIS-SKIMMER,ACTIVE
KITCHEN SUPPLIES,KIS-SLT,KIS-SLIP TOP SLEEVES,ACTIVE
KITCHEN SUPPLIES,KIS-SOL,KIS-SOUP LADLE,ACTIVE
KITCHEN SUPPLIES,KIS-SPA,KIS-SPATULA,ACTIVE
KITCHEN SUPPLIES,KIS-SPN,KIS-SPINDLE,ACTIVE
KITCHEN SUPPLIES,KIS-SQB,KIS-SQUEEZE BOTTLE,ACTIVE
KITCHEN SUPPLIES,KIS-STK,KIS-STEAK WEIGHTS,ACTIVE
KITCHEN SUPPLIES,KIS-STM,KIS-STEAMER,ACTIVE
KITCHEN SUPPLIES,KIS-STW,KIS-STEW PAN,ACTIVE
KITCHEN SUPPLIES,KIS-STP,KIS-STOCK POT,ACTIVE
KITCHEN SUPPLIES,KIS-STB,KIS-STORAGE BOX,ACTIVE
KITCHEN SUPPLIES,KIS-STR,KIS-STRAINER,ACTIVE
KITCHEN SUPPLIES,KIS-TEP,KIS-TEA POT,ACTIVE
KITCHEN SUPPLIES,KIS-THE,KIS-THERMOMETER,ACTIVE
KITCHEN SUPPLIES,KIS-TNG,KIS-TONG,ACTIVE
KITCHEN SUPPLIES,KIS-TOB,KIS-TORCH BURNER,ACTIVE
KITCHEN SUPPLIES,KIS-TRY,KIS-TRAY,ACTIVE
KITCHEN SUPPLIES,KIS-,KIS-TROLLEY,ACTIVE
KITCHEN SUPPLIES,KIS-TRN,KIS-TURNER,ACTIVE
KITCHEN SUPPLIES,KIS-TWZ,KIS-TWEEZER,ACTIVE
KITCHEN SUPPLIES,KIS-UTH,KIS-UTENSIL HOLDER,ACTIVE
KITCHEN SUPPLIES,KIS-VNG,KIS-VINYL GLOVES,ACTIVE
KITCHEN SUPPLIES,KIS-WTC,KIS-WATER CONTAINER,ACTIVE
KITCHEN SUPPLIES,KIS-WAP,KIS-WAX PAPER,ACTIVE
KITCHEN SUPPLIES,KIS-WCD,KIS-WHIP CREAM DISPENSER,ACTIVE
KITCHEN SUPPLIES,KIS-WIB,KIS-WINE BUCKET,ACTIVE
KITCHEN SUPPLIES,KIS-WIW,KIS-WIRE WHISK,ACTIVE
KITCHEN SUPPLIES,KIS-WKP,KIS-WOK PAN,ACTIVE
KITCHEN SUPPLIES,KIS-ZST,KIS-ZESTER,ACTIVE
LIGHTING,LGT-DWL,LGT-DOWNLIGHT,ACTIVE
LIGHTING,LGT-EML,LGT-EMERGENCY LIGHT,ACTIVE
LIGHTING,LGT-EXS,LGT-EXIT SIGN,ACTIVE
LIGHTING,LGT-FSL,LGT-FLASHLIGHT,ACTIVE
LIGHTING,LGT-FFX,LGT-FLOURESCENT FIXTURE,ACTIVE
LIGHTING,LGT-LIB,LGT-LIGHT BULB,ACTIVE
LIGHTING,LGT-PDH,LGT-PENDANT HOUSING,ACTIVE
LIGHTING,LGT-PEL,LGT-PENDANT LIGHT,ACTIVE
LIGHTING,LGT-PIL,LGT-PIN LIGHT,ACTIVE
LIGHTING,LGT-SPL,LGT-SPOT LIGHT,ACTIVE
LIGHTING,LGT-STL,LGT-STRIP LIGHT,ACTIVE
LIGHTING,LGT-TKB,LGT-TRACK BAR,ACTIVE
LIGHTING,LGT-TKH,LGT-TRACK HEAD,ACTIVE
LIGHTING,LGT-TRL,LGT-TRACK LIGHT,ACTIVE
LIGHTING,LGT-TOL,LGT-TROFFER LIGHT,ACTIVE
LIQUOR,LIQ-BER,LIQ-BEER,ACTIVE
LIQUOR,LIQ-BRB,LIQ-BOURBON,ACTIVE
LIQUOR,LIQ-BRN,LIQ-BRANDY,ACTIVE
LIQUOR,LIQ-GIN,LIQ-GIN,ACTIVE
LIQUOR,LIQ-LMB,LIQ-LAMBANOG,ACTIVE
LIQUOR,LIQ-RUM,LIQ-RHUM,ACTIVE
LIQUOR,LIQ-SKE,LIQ-SAKE,ACTIVE
LIQUOR,LIQ-SHO,LIQ-SHOCHU,ACTIVE
LIQUOR,LIQ-SOJ,LIQ-SOJU,ACTIVE
LIQUOR,LIQ-TQL,LIQ-TEQUILA,ACTIVE
LIQUOR,LIQ-VDK,LIQ-VODKA,ACTIVE
LIQUOR,LIQ-WHS,LIQ-WHISKY,ACTIVE
LIQUOR,LIQ-WNE,LIQ-WINE,ACTIVE
LAMB,LMB-RIB,LMB-RIBS,ACTIVE
LAMB,LMB-SHL,LMB-SHOULDER,ACTIVE
LIQUER,LQU-TRS,LQU-TRIPLE SEC,ACTIVE
MEDICAL SUPPLIES,MDS-ALC,MDS-ALCOHOL,ACTIVE
MEDICAL SUPPLIES,MDS-AMO,MDS-AMONIA,ACTIVE
MEDICAL SUPPLIES,MDS-BAA,MDS-BAND AID,ACTIVE
MEDICAL SUPPLIES,MDS-BTD,MDS-BETADINE,ACTIVE
MEDICAL SUPPLIES,MDS-CLC,MDS-COLD COMPRESS,ACTIVE
MEDICAL SUPPLIES,MDS-COB,MDS-COTTON BALLS,ACTIVE
MEDICAL SUPPLIES,MDS-EMK,MDS-EMERGENCY KIT,ACTIVE
MEDICAL SUPPLIES,MDS-MDC,MDS-MEDICINE,ACTIVE
MEDICAL SUPPLIES,MDS-SCI,MDS-SCISSORS,ACTIVE
MEDICAL SUPPLIES,MDS-SYRINGE,MDS-SYRINGE,ACTIVE
MEDICAL SUPPLIES,MDS-TBL,MDS-TABLET,ACTIVE
MEDICAL SUPPLIES,MDS-TPE,MDS-TAPE,ACTIVE
MEDICAL SUPPLIES,MDS-THM,MDS-THERMOMETER,ACTIVE
MUSHROOMS,MSH-BUT,MSH-BUTTON,ACTIVE
MUSHROOMS,MSH-ENK,MSH-ENOKI,ACTIVE
MUSHROOMS,MSH-FGS,MSH-FUNGUS,ACTIVE
MUSHROOMS,MSH-OYS,MSH-OYSTER,ACTIVE
MUSHROOMS,MSH-POR,MSH-PORTOBELLO,ACTIVE
MUSHROOMS,MSH-SHM,MSH-SHIMEJI,ACTIVE
MUSHROOMS,MSH-SHT,MSH-SHITAKE,ACTIVE
MUSHROOMS,MSH-WDR,MSH-WOOD EAR,ACTIVE
NON ALCOHOLIC DRINKS,NAD-CO2,NAD-CO2,ACTIVE
NON ALCOHOLIC DRINKS,NAD-CFE,NAD-COFFEE,ACTIVE
NON ALCOHOLIC DRINKS,NAD-COW,NAD-COOKING WINE,ACTIVE
NON ALCOHOLIC DRINKS,NAD-JUI,NAD-JUICE,ACTIVE
NON ALCOHOLIC DRINKS,NAD-LIQ,NAD-LIQUER,ACTIVE
NON ALCOHOLIC DRINKS,NAD-MLK,NAD-MILK,ACTIVE
NON ALCOHOLIC DRINKS,NAD-SOD,NAD-SODA,ACTIVE
NON ALCOHOLIC DRINKS,NAD-TEA,NAD-TEA,ACTIVE
NON ALCOHOLIC DRINKS,NAD-WTR,NAD-WATER,ACTIVE
NOODLES,NDL-BKW,NDL-BUCKWHEAT,ACTIVE
NOODLES,NDL-EGG,NDL-EGG,ACTIVE
NOODLES,NDL-RMN,NDL-RAMEN,ACTIVE
NOODLES,NDL-RCE,NDL-RICE,ACTIVE
NOODLES,NDL-SBA,NDL-SOBA,ACTIVE
NOODLES,NDL-TSU,NDL-TSUKEMEN,ACTIVE
NOODLES,NDL-VMC,NDL-VERMICELLI,ACTIVE
NON-LIQUOR,NLQ-JCE,NLQ-JUICE,ACTIVE
NON-LIQUOR,NLQ-TEA,NLQ-TEA,ACTIVE
NUTS,NUT-ALM,NUT-ALMONDS,ACTIVE
NUTS,NUT-CSH,NUT-CASHEW,ACTIVE
NUTS,NUT-HZL,NUT-HAZELNUT,ACTIVE
NUTS,NUT-MAC,NUT-MACADEMIA,ACTIVE
NUTS,NUT-PEA,NUT-PEANUTS,ACTIVE
NUTS,NUT-PCN,NUT-PECAN,ACTIVE
NUTS,NUT-PLI,NUT-PILI,ACTIVE
NUTS,NUT-PNE,NUT-PINE,ACTIVE
NUTS,NUT-PIS,NUT-PISTACHIOS,ACTIVE
NUTS,NUT-SPD,NUT-SPREADS,ACTIVE
NUTS,NUT-WAL,NUT-WALNUTS,ACTIVE
OFFICE EQUIPMENT,OEQ-ACO,OEQ-AIR CONDITIONER,ACTIVE
OFFICE EQUIPMENT,OEQ-ADF,OEQ-AIR DEFLECTOR,ACTIVE
OFFICE EQUIPMENT,OEQ-AMP,OEQ-AMPLIFIER,ACTIVE
OFFICE EQUIPMENT,OEQ-BIO,OEQ-BIOMETRICS,ACTIVE
OFFICE EQUIPMENT,OEQ-BZR,OEQ-BUZZER,ACTIVE
OFFICE EQUIPMENT,OEQ-BZC,OEQ-BUZZER CHARGER,ACTIVE
OFFICE EQUIPMENT,OEQ-CBN,OEQ-CABINET,ACTIVE
OFFICE EQUIPMENT,OEQ-CAD,OEQ-CASH DRAWER,ACTIVE
OFFICE EQUIPMENT,OEQ-CCT,OEQ-CCTV CAMERA,ACTIVE
OFFICE EQUIPMENT,OEQ-CEF,OEQ-CEILING FAN,ACTIVE
OFFICE EQUIPMENT,OEQ-CHR,OEQ-CHAIR,ACTIVE
OFFICE EQUIPMENT,OEQ-COP,OEQ-COASTER PAGER,ACTIVE
OFFICE EQUIPMENT,OEQ-MON,OEQ-COMPUTER MONITOR,ACTIVE
OFFICE EQUIPMENT,OEQ-CPU,OEQ-CPU,ACTIVE
OFFICE EQUIPMENT,OEQ-DVR,OEQ-DVR,ACTIVE
OFFICE EQUIPMENT,OEQ-FLP,OEQ-FLOOR POLISHER,ACTIVE
OFFICE EQUIPMENT,OEQ-HAP,OEQ-HAND PALLET,ACTIVE
OFFICE EQUIPMENT,OEQ-HRD,OEQ-HARD DRIVE,ACTIVE
OFFICE EQUIPMENT,OEQ-KYB,OEQ-KEYBOARD,ACTIVE
OFFICE EQUIPMENT,OEQ-KIP,OEQ-KITCHEN PRINTER,ACTIVE
OFFICE EQUIPMENT,OEQ-LTP,OEQ-LAPTOP,ACTIVE
OFFICE EQUIPMENT,OEQ-LKR,OEQ-LOCKER,ACTIVE
OFFICE EQUIPMENT,OEQ-MCR,OEQ-MICROPHONE,ACTIVE
OFFICE EQUIPMENT,OEQ-MBP,OEQ-MOBILE PHONE,ACTIVE
OFFICE EQUIPMENT,OEQ-MSE,OEQ-MOUSE,ACTIVE
OFFICE EQUIPMENT,OEQ-OFP,OEQ-OFFICE PRINTER,ACTIVE
OFFICE EQUIPMENT,OEQ-PWS,OEQ-POWER SUPPLY,ACTIVE
OFFICE EQUIPMENT,OEQ-PRJ,OEQ-PROJECTOR,ACTIVE
OFFICE EQUIPMENT,OEQ-RCK,OEQ-RACKS,ACTIVE
OFFICE EQUIPMENT,OEQ-SIT,OEQ-SIGNAL TRANSMITTER,ACTIVE
OFFICE EQUIPMENT,OEQ-SPK,OEQ-SPEAKERS,ACTIVE
OFFICE EQUIPMENT,OEQ-TBL,OEQ-TABLE,ACTIVE
OFFICE EQUIPMENT,OEQ-TAB,OEQ-TABLET,ACTIVE
OFFICE EQUIPMENT,OEQ-TLV,OEQ-TELEVISION,ACTIVE
OFFICE EQUIPMENT,OEQ-TRS,OEQ-TRANSFORMER,ACTIVE
OFFICE EQUIPMENT,OEQ-TWR,OEQ-TWO WAY RADIO,ACTIVE
OFFICE EQUIPMENT,OEQ-UPS,OEQ-UPS,ACTIVE
OFFICE EQUIPMENT,OEQ-WIR,OEQ-WIRELESS ROUTER,ACTIVE
OFFICE SUPPLIES,OFS-AKR,OFS-ACKNOWLEDGEMENT RECEIPT,ACTIVE
OFFICE SUPPLIES,OFS-BAT,OFS-BATTERY,ACTIVE
OFFICE SUPPLIES,OFS-BOA,OFS-BOARD,ACTIVE
OFFICE SUPPLIES,OFS-CCL,OFS-CALCULATOR,ACTIVE
OFFICE SUPPLIES,OFS-CHB,OFS-CASH BOX,ACTIVE
OFFICE SUPPLIES,OFS-CLP,OFS-CLIPS,ACTIVE
OFFICE SUPPLIES,OFS-CMN,OFS-COLUMNAR NOTEBOOK,ACTIVE
OFFICE SUPPLIES,OFS-CTE,OFS-CUTTER,ACTIVE
OFFICE SUPPLIES,OFS-DPH,OFS-DISPLAY HOLDER,ACTIVE
OFFICE SUPPLIES,OFS-EAS,OFS-EASEL STAND,ACTIVE
OFFICE SUPPLIES,OFS-ENV,OFS-ENVELOPE,ACTIVE
OFFICE SUPPLIES,OFS-FST,OFS-FASTENER,ACTIVE
OFFICE SUPPLIES,OFS-FLD,OFS-FOLDER,ACTIVE
OFFICE SUPPLIES,OFS-HDT,OFS-HAND TOOLS,ACTIVE
OFFICE SUPPLIES,OFS-HLR,OFS-HIGHLIGHTER,ACTIVE
OFFICE SUPPLIES,OFS-INK,OFS-INK,ACTIVE
OFFICE SUPPLIES,OFS-IKP,OFS-INK PRINTER,ACTIVE
OFFICE SUPPLIES,OFS-LGB,OFS-LOGBOOK,ACTIVE
OFFICE SUPPLIES,OFS-MRK,OFS-MARKER,ACTIVE
OFFICE SUPPLIES,OFS-MND,OFS-MONEY DETECTOR,ACTIVE
OFFICE SUPPLIES,OFS-PDL,OFS-PAD LOCK,ACTIVE
OFFICE SUPPLIES,OFS-PNB,OFS-PAINT BRUSH,ACTIVE
OFFICE SUPPLIES,OFS-PAP,OFS-PAPER,ACTIVE
OFFICE SUPPLIES,OFS-PEN,OFS-PEN,ACTIVE
OFFICE SUPPLIES,OFS-PNC,OFS-PENCIL,ACTIVE
OFFICE SUPPLIES,OFS-PTV,OFS-PETTY CASH VOUCHER,ACTIVE
OFFICE SUPPLIES,OFS-RIB,OFS-RIBBON,ACTIVE
OFFICE SUPPLIES,OFS-RCR,OFS-RIBBON CARTRIDGE,ACTIVE
OFFICE SUPPLIES,OFS-RBB,OFS-RUBBER BAND,ACTIVE
OFFICE SUPPLIES,OFS-RLR,OFS-RULER,ACTIVE
OFFICE SUPPLIES,OFS-SCR,OFS-SCISSORS,ACTIVE
OFFICE SUPPLIES,OFS-STP,OFS-STAMP,ACTIVE
OFFICE SUPPLIES,OFS-SLP,OFS-STAPLER,ACTIVE
OFFICE SUPPLIES,OFS-STW,OFS-STAPLER WIRE,ACTIVE
OFFICE SUPPLIES,OFS-STK,OFS-STICKERS,ACTIVE
OFFICE SUPPLIES,OFS-STB,OFS-STORAGE BOX,ACTIVE
OFFICE SUPPLIES,OFS-TPE,OFS-TAPE,ACTIVE
OFFICE SUPPLIES,OFS-TDP,OFS-TAPE DISPENSER,ACTIVE
OFFICE SUPPLIES,OFS-TMC,OFS-TIME CARD,ACTIVE
OFFICE SUPPLIES,OFS-TNC,OFS-TONER CARTRIDGE,ACTIVE
OFFICE SUPPLIES,OFS-TLB,OFS-TOOL BOX,ACTIVE
OFFICE SUPPLIES,OFS-VLT,OFS-VAULT,ACTIVE
OFFICE SUPPLIES,OFS-VCH,OFS-VOUCHER,ACTIVE
OFFICE SUPPLIES,OFS-WCK,OFS-WALL CLOCK,ACTIVE
OIL,OIL-COL,OIL-COOKING OIL,ACTIVE
OIL,OIL-EML,OIL-EMULSIFIER,ACTIVE
OIL,OIL-FLV,OIL-FLAVORED,ACTIVE
